cui,pretty_name,types,ID,LABEL,source,Count
C0034094,Pulmonary Wedge Pressure,['Clinical Attribute'],504,PCWP,Vital,1180.0
C0807495,Positive end expiratory pressure setting,['Finding'],505,PEEP,Vital,37130.0
C0232021,Peak inspiratory pressure,['Finding'],535,Peak Insp. Pressure,Vital,13406.0
C0231832,Respiratory rate,['Clinical Attribute'],618,Respiratory Rate,Vital,212048.0
C0005902,Body Surface Area,['Organism Attribute'],69,BSA,Vital,1117.0
C0005902,Body Surface Area,['Organism Attribute'],71,BSA - Metric,Vital,1452.0
C0005776,blood flow measurement,['Diagnostic Procedure'],79,Blood Flow ml/min,Vital,2855.0
C2732291,Braden Scale score,['Finding'],87,Braden Score,Vital,22786.0
C0428713,Cerebral Perfusion Pressure,['Finding'],92,CPP,Vital,4054.0
C0199666,Measurement of central venous pressure,['Diagnostic Procedure'],113,CVP,Vital,69885.0
C0428776,Cardiac index,['Finding'],116,Cardiac Index,Vital,9653.0
C0428722,Airway device cuff pressure,['Finding'],141,Cuff Pressure-Airway,Vital,744.0
C0429658,Dialysance,['Finding'],146,Dialysate Flow ml/hr,Vital,2854.0
C0428648,Inspired oxygen concentration,['Finding'],189,FiO2,Vital,421.0
C1271007,Glasgow coma score finding,['Finding'],198,GCS Total,Vital,59624.0
C0018810,heart rate,['Clinical Attribute'],211,Heart Rate,Vital,361934.0
C0428693,Inspired gas temperature,['Finding'],417,Inspired Gas Temp,Vital,14829.0
C3697947,Mean inspiratory airway pressure,['Clinical Attribute'],444,Mean Airway Pressure,Vital,23212.0
C0483415,Oxygen Saturation,['Clinical Attribute'],646,SpO2,Vital,213636.0
C0038455,Stroke Volume,['Clinical Attribute'],662,Stroke Volume,Vital,7754.0
C0005903,Body Temperature,['Organism Attribute'],678,Temperature F,Vital,49844.0
C0005903,Body Temperature,['Organism Attribute'],679,Temperature F,Vital,17709.0
C0040210,Tidal Volume,['Clinical Attribute'],682,Tidal Volume,Vital,14095.0
C0040210,Tidal Volume,['Clinical Attribute'],683,Tidal Volume,Vital,13444.0
